# DASYLab - V 12.00.01\n
# Worksheet name: Olympus AlfonsoX\n
# Recording date     : 27/04/2017, 17:47:24\n
# Block length       : 4\n
# Delta              : 0.333333 sec.\n
# Number of channels : 16\n
# Measurement time[s]	P0 [Pa]	P2 [Pa]	P3t [Pa]	P4t [Pa]	P5t [Pa]	P6t [Pa]	T2t [K]	T3t [K]	T4t1 [K]	T4t2 [K]	T5t1 [K]	T5t2 [K]	T8t [K]	Empuje [N]	fuel [kg/s]	aire [kg/s]	/s]	
0.0000000000	93832.2187500	93313.960938	94046.687500	93653.968750	93806.210938	95358.226563	294.576050	310.092102	345.012878	837.804260	369.117462	463.826385	358.448822	-6.899140	0.000435	0.000000	
0.3333333333	93199.7265625	92683.679688	93365.070313	93390.937500	93173.234375	94692.031250	294.481110	307.154388	348.672180	857.146667	374.508240	485.968140	358.383881	-7.462772	0.000373	0.000000	
0.6666666667	93044.8828125	92524.515625	92995.179688	93130.445313	93056.234375	89898.429688	294.520569	309.645172	352.904572	877.790466	380.749298	504.715668	356.113312	-8.103917	0.000459	0.000464	
1.0000000000	93799.1093750	93280.351563	94001.500000	93590.367188	93775.906250	95294.750000	294.456329	309.682434	359.613525	892.799561	386.869568	518.579834	360.992065	-6.834533	0.000432	0.000000	
1.3333333333	93219.9609375	92705.000000	93401.007813	93402.992188	93189.695313	94675.281250	294.365814	306.873169	366.406464	911.646667	395.869415	528.809265	365.128235	-7.461131	0.000431	0.000000	
1.6666666667	93049.0156250	92531.578125	92992.867188	93150.609375	93060.414063	89740.882813	294.409149	309.248718	372.488312	923.306885	404.891785	539.000977	366.742584	-7.990296	0.000473	0.000451	
2.0000000000	93768.8750000	93250.437500	93963.414063	93538.437500	93749.445313	95277.398438	294.356049	309.326019	382.468292	932.857727	412.887512	557.441223	374.657990	-6.815509	0.000476	0.000000	
2.3333333333	93239.6171875	92726.078125	93442.007813	93426.109375	93206.492188	94785.937500	294.255402	306.670715	391.485474	943.640381	421.335999	566.044495	380.383148	-7.418010	0.000396	0.000000	
2.6666666667	93043.6796875	92525.554688	92991.765625	93175.460938	93055.804688	89528.148438	294.309784	308.949829	400.349915	948.157898	429.220856	575.529602	383.146820	-7.836836	0.000483	0.000465	
3.0000000000	93736.2500000	93219.671875	93919.914063	93475.312500	93723.359375	95286.507813	294.246246	309.103973	411.369843	948.981628	436.951874	588.192261	391.520020	-6.711138	0.000470	0.000000	
3.3333333333	93266.2421875	92747.765625	93477.695313	93450.843750	93228.234375	94795.382813	294.123047	306.623566	423.130890	957.408630	449.146729	597.496338	400.005249	-7.375038	0.000403	0.000000	
3.6666666667	93040.1718750	92523.117188	93003.359375	93204.023438	93052.875000	89302.632813	294.191315	308.718597	435.423584	958.880981	465.706024	610.483154	408.668030	-7.731048	0.000490	0.000471	
4.0000000000	93690.5937500	93169.734375	93861.171875	93411.726563	93682.539063	95237.015625	294.139526	308.948181	450.284058	966.575256	478.158691	625.185730	423.163788	-6.771493	0.000507	0.000000	
4.3333333333	93306.7968750	92791.085938	93522.679688	93488.257813	93265.304688	94842.351563	294.001007	306.552856	466.074677	988.492676	495.426178	636.618530	436.694458	-7.338109	0.000408	0.000000	
4.6666666667	93048.0078125	92528.023438	93020.453125	93229.156250	93060.859375	89077.148438	294.088531	308.562073	480.878143	995.809448	511.644135	647.078186	451.624451	-7.475380	0.000529	0.000459	
5.0000000000	93658.4843750	93135.085938	93814.367188	93362.640625	93653.281250	95155.640625	294.045807	308.829834	504.088165	993.588867	526.006226	659.592346	470.866364	-6.543578	0.000504	0.000000	
5.3333333333	93339.0000000	92817.320313	93549.851563	93503.484375	93294.648438	94857.882813	293.893921	306.544586	522.928101	1013.426331	538.515076	672.035889	486.370728	-7.151227	0.000425	0.000000	
5.6666666667	93050.7968750	92529.765625	93031.703125	93241.375000	93062.773438	88922.812500	293.994659	308.467560	540.662964	1014.306519	553.157776	678.182068	500.789490	-7.248734	0.000511	0.000415	
6.0000000000	93618.1640625	93097.867188	93759.343750	93316.664063	93617.609375	95121.585938	293.951996	308.783875	563.627563	1015.212585	566.049988	688.160950	518.676147	-6.571331	0.000515	0.000000	
6.3333333333	93386.4765625	92871.132813	93596.320313	93535.554688	93338.304688	94847.000000	293.784027	306.648773	589.474060	1019.735596	575.143860	695.420837	536.339600	-7.141080	0.000403	0.000000	
6.6666666667	93045.9375000	92529.468750	93038.117188	93228.968750	93057.578125	88775.171875	293.902527	308.357239	621.426453	1036.139404	589.908264	704.326782	555.104736	-7.098332	0.000544	0.000393	
7.0000000000	93564.1015625	93045.523438	93692.398438	93282.406250	93568.726563	95020.031250	293.864136	308.724945	648.012268	1029.723022	604.297668	721.314453	587.956665	-6.373407	0.000603	0.000155	
7.3333333333	93434.1015625	92915.304688	93649.179688	93567.453125	93383.656250	94923.273438	293.685760	306.753906	675.817444	1045.188110	620.981323	738.119812	619.637024	-7.016567	0.000499	0.000000	
7.6666666667	93052.2812500	92531.296875	93062.179688	93240.343750	93061.796875	88660.000000	293.823425	308.262238	698.526672	1057.179810	639.644104	745.241760	641.845215	-6.829609	0.000638	0.000311	
8.0000000000	93477.5000000	92954.234375	93588.679688	93225.359375	93488.171875	95022.398438	293.795166	308.725433	725.916931	1066.211548	652.509277	757.605286	651.262634	-6.307606	0.000645	0.000346	
8.3333333333	93495.2812500	92976.960938	93713.375000	93606.625000	93445.992188	95076.914063	293.578278	306.986786	748.055481	1061.538208	661.881409	761.895874	660.213562	-6.986128	0.000522	0.000000	
8.6666666667	93042.3359375	92522.765625	93069.953125	93238.890625	93050.007813	88550.023438	293.744812	308.163727	774.907104	1065.823364	677.057983	773.907837	674.806519	-6.486432	0.000672	0.000245	
9.0000000000	93383.2109375	92864.492188	93475.867188	93165.664063	93397.078125	95055.132813	293.721405	308.702789	786.711670	1075.022705	686.948364	790.380615	692.875244	-6.239194	0.000662	0.000439	
9.3333333333	93575.2968750	93056.359375	93792.585938	93654.882813	93531.914063	95239.335938	293.478943	307.268005	805.639221	1080.161499	701.136780	804.034973	706.784912	-6.934801	0.000489	0.000000	
9.6666666667	93036.1328125	92517.742188	93089.117188	93234.257813	93038.484375	88563.171875	293.670105	308.076019	819.469360	1086.320679	713.055542	864.654846	707.694458	-6.228377	0.000679	0.000072	
10.0000000000	93284.5937500	92767.632813	93349.062500	93114.835938	93301.078125	95074.585938	293.645813	308.752533	831.949585	1096.646851	724.768799	902.087463	706.929565	-6.097522	0.000679	0.000497	
10.3333333333	93664.2109375	93145.039063	93889.757813	93723.359375	93626.781250	95402.164063	293.372009	307.678375	845.783936	1112.904541	735.154053	919.848083	713.978882	-6.905929	0.000463	0.000000	
10.6666666667	93039.6484375	92524.406250	93129.078125	93244.375000	93036.820313	88764.234375	293.602783	308.037140	855.489380	1112.798584	747.081787	922.607544	716.019348	-5.845286	0.000681	0.000000	
11.0000000000	93152.3906250	92631.398438	93180.414063	93032.312500	93169.742188	94855.179688	293.597229	308.848480	854.488159	1103.179688	749.528442	920.659973	723.285156	-6.025082	0.000667	0.000516	
11.3333333333	93785.9375000	93263.781250	94011.281250	93791.945313	93757.554688	95562.039063	293.279022	308.134247	855.001831	1092.055054	751.288208	919.991760	730.756348	-6.856690	0.000372	0.000000	
11.6666666667	93069.2968750	92550.328125	93197.992188	93268.992188	93059.789063	89086.468750	293.539978	307.920227	857.503845	1088.407349	754.462769	916.136963	733.216858	-5.818578	0.000666	0.000000	
12.0000000000	93045.5078125	92521.148438	93019.765625	92991.773438	93061.164063	94802.914063	293.532654	308.853668	860.282227	1071.181885	759.020386	924.637268	735.748657	-5.960848	0.000653	0.000464	
12.3333333333	93797.8046875	93275.164063	94020.531250	93731.179688	93774.843750	95502.515625	293.241241	308.747803	859.513855	1061.996460	755.155029	928.192322	735.478333	-6.913763	0.000317	0.000000	
12.6666666667	93163.2500000	92639.218750	93337.453125	93360.117188	93140.195313	89822.679688	293.475677	307.907959	858.949463	1052.126831	752.249634	930.410095	735.870300	-5.804030	0.000652	0.000000	
13.0000000000	93051.2265625	92529.015625	92970.117188	93077.046875	93068.242188	94723.851563	293.478851	308.633026	858.302246	1041.132568	754.250061	941.586609	731.752869	-5.972486	0.000656	0.000502	
13.3333333333	93717.6484375	93198.351563	93934.132813	93577.445313	93705.820313	95212.382813	293.222229	308.934265	863.423096	1032.323730	752.366211	943.449402	729.621521	-6.958375	0.000381	0.000000	
13.6666666667	93260.4687500	92740.890625	93481.382813	93462.054688	93224.585938	90935.585938	293.418396	308.106689	867.919800	1030.402344	752.711121	951.851318	732.236633	-5.825218	0.000654	0.000000	
14.0000000000	93043.4453125	92523.171875	92935.351563	93151.015625	93068.156250	94755.734375	293.435181	308.386230	857.060364	1014.991760	749.615234	952.014282	725.978516	-6.015308	0.000675	0.000728	
14.3333333333	93639.0703125	93114.578125	93841.867188	93441.640625	93640.304688	94903.820313	293.219452	309.006165	864.004883	1010.013855	751.666443	969.567566	723.873413	-6.998811	0.000459	0.000036	
14.6666666667	93344.0000000	92822.960938	93575.789063	93541.179688	93297.570313	92240.078125	293.388062	308.273102	868.834656	1008.929443	753.241760	991.440979	727.750183	-5.787991	0.000723	0.000000	
15.0000000000	93042.6718750	92517.242188	92976.664063	93233.882813	93065.007813	94851.609375	293.412262	308.182098	874.282776	1009.178772	759.779663	998.500793	724.607544	-6.039853	0.000720	0.000648	
15.3333333333	93543.7265625	93022.507813	93718.328125	93342.210938	93562.140625	94344.968750	293.235809	309.080872	881.360474	1002.430237	764.135071	1028.580200	723.492310	-7.056927	0.000497	0.000529	
15.6666666667	93491.0546875	92968.515625	93724.453125	93634.468750	93437.414063	93888.304688	293.350952	308.465912	880.517639	1002.249268	764.938171	1057.123535	724.545898	-5.733082	0.000715	0.000000	
16.0000000000	93046.4218750	92525.125000	93022.289063	93254.921875	93075.000000	94896.289063	293.374664	307.881104	880.570190	1003.290710	772.414368	1087.273926	722.782654	-6.015607	0.000733	0.000806	
16.3333333333	93398.0625000	92874.195313	93544.273438	93250.312500	93432.500000	93531.218750	293.258972	309.199432	888.202026	1001.881287	776.757751	1120.942627	721.822388	-7.011344	0.000574	0.000961	
16.6666666667	93649.0703125	93130.546875	93888.312500	93728.343750	93617.445313	95555.828125	293.311462	308.747101	891.390564	1003.484009	777.095764	1137.667114	725.622742	-5.693468	0.000735	0.000000	
17.0000000000	93040.6562500	92518.109375	93059.617188	93246.960938	93062.023438	94875.617188	293.351807	307.483917	893.508850	1005.914429	784.052246	1153.788818	724.430847	-5.979424	0.000729	0.000590	
17.3333333333	93269.7968750	92745.445313	93380.570313	93167.640625	93300.507813	92615.335938	293.272125	309.262146	894.149170	1002.557495	787.575378	1182.119873	719.059937	-6.991052	0.000623	0.000841	
17.6666666667	93798.5781250	93276.109375	94035.000000	93820.312500	93779.054688	95673.500000	293.271179	308.961151	894.493286	1003.926819	788.129089	1201.879395	723.852295	-5.658926	0.000742	0.000000	
18.0000000000	93042.5781250	92520.460938	93108.859375	93246.046875	93061.335938	94860.312500	293.314392	307.050903	896.304077	1000.893982	795.419983	1201.823242	724.414856	-5.961967	0.000750	0.000510	
18.3333333333	93140.6640625	92616.546875	93213.382813	93085.671875	93184.390625	91710.257813	293.274658	309.275116	897.378540	996.355042	798.713562	1211.301514	720.137695	-6.924058	0.000683	0.001186	
18.6666666667	93945.6328125	93423.367188	94185.273438	93888.445313	93960.953125	95761.343750	293.224945	309.160095	896.878662	991.428894	797.185730	1230.313965	724.994080	-5.623638	0.000749	0.000414	
19.0000000000	93088.3281250	92564.226563	93214.812500	93281.421875	93119.328125	94907.781250	293.228241	306.541992	899.840027	992.470032	804.704895	1252.647095	727.102173	-5.978902	0.000769	0.000831	
19.3333333333	93044.3515625	92519.671875	93075.796875	93068.914063	93122.773438	90809.953125	293.235199	309.340393	906.503967	992.736694	808.727417	1266.314575	727.501648	-6.783280	0.000772	0.002094	
19.6666666667	93879.2187500	93350.343750	94135.976563	93727.070313	93919.992188	95778.296875	293.177734	309.390137	911.868164	990.114380	810.248047	1290.587280	730.581543	-5.557763	0.000775	0.001082	
20.0000000000	93189.7265625	92663.164063	93399.765625	93384.078125	93225.953125	95063.031250	293.132721	306.541534	914.753662	989.783630	813.310547	1298.789429	730.651550	-5.980319	0.000760	0.000959	
20.3333333333	93041.2812500	92519.703125	93045.140625	93143.507813	93127.835938	90017.648438	293.179871	309.318237	915.267334	991.013855	818.509338	1296.645386	730.676941	-6.547980	0.000809	0.002290	
20.6666666667	93762.2421875	93239.140625	94039.335938	93526.773438	93821.742188	95677.640625	293.139648	309.520020	917.818542	991.063477	821.765381	1302.991943	734.064209	-5.413181	0.000816	0.001570	
